user_id,regist_date,name,gender,province,city
10437,2019-12-10,Taswir Waskita,male,DKI Jakarta,Central Jakarta
20931,2019-12-11,Oliva Wahyuni,female,Jawa Barat,Bandung
10625,2019-12-12,Uda Jarwadi Manullang,male,DKI Jakarta,Central Jakarta
10650,2019-12-13,Among Waluyo M.Ak,male,Jawa Timur,surabaya
20706,2019-12-13,Sadina Uyainah,female,Jawa Barat,Bandung
10564,2019-12-14,Lasmono Wacana S.Pd,male,Jawa Barat,Kota Bekasi
10218,2019-12-14,Ajimat Hakim M.TI.,male,DKI Jakarta,Jakarta Pusat
20626,2019-12-14,Zamira Hariyah S.Ked,female,Jawa Barat,Kota Depok
20875,2019-12-14,Zulfa Titin Pudjiastuti,female,DKI Jakarta,Central Jakarta
10092,2019-12-15,Cawisadi Samosir,male,Jawa Barat,Kota Bogor
20749,2019-12-15,Zamira Natalia Utami,female,Jawa Timur,Surabaya
21000,2019-12-15,Victoria Andriani,female,DKI Jakarta,Jakarta Timur
20765,2019-12-15,Sarah Usada,female,DKI Jakarta,South Jakarta
20597,2019-12-15,Tania Mardhiyah,female,DKI Jakarta,Central Jakarta
20872,2019-12-15,Betania Icha Maryati S.Gz,female,Banten,Tangerang Selatan
20916,2019-12-15,Unjani Utami,female,Banten,Tangerang Selatan
10611,2019-12-16,Viman Damar Sinaga S.Farm,male,Jawa Tengah,Semarang
20357,2019-12-16,Ellis Yuliarti,female,Jawa Timur,surabaya
20484,2019-12-16,Ida Zulaikha Wahyuni S.Sos,female,Jawa Timur,surabaya
20905,2019-12-16,Kezia Hasanah,female,Jawa Barat,Kota Depok
20986,2019-12-16,Yulia Lailasari M.Kom.,female,DKI Jakarta,South Jakarta
20638,2019-12-16,Septi Yulianti M.Farm,female,DKI Jakarta,Central Jakarta
10377,2019-12-17,Latif Haryanto,male,DKI Jakarta,Central Jakarta
20235,2019-12-17,Icha Wijayanti,female,Jawa Tengah,Semarang
20976,2019-12-17,Oliva Vera Padmasari S.Psi,female,DKI Jakarta,Jakarta Timur
20984,2019-12-17,Maida Nasyiah,female,DKI Jakarta,Jakarta Timur
10693,2019-12-18,Tirtayasa Halim,male,Jawa Barat,Bandung
10505,2019-12-18,Gaiman Budiman,male,Jawa Barat,Kota Depok
10161,2019-12-18,Karja Wacana S.Kom,male,DKI Jakarta,South Jakarta
10454,2019-12-18,Soleh Garan Halim S.IP,male,DKI Jakarta,South Jakarta
20906,2019-12-18,Paris Safitri,female,DKI Jakarta,South Jakarta
20734,2019-12-18,Nova Winarsih,female,DKI Jakarta,Jakarta Selatan
10491,2019-12-19,Kajen Pangestu,male,Jawa Barat,Kota Bogor
20910,2019-12-19,Lalita Putri Namaga S.Psi,female,Jawa Timur,Surabaya
20813,2019-12-19,Paramita Hilda Uyainah,female,Jawa Timur,surabaya
20080,2019-12-19,Chelsea Lailasari,female,DKI Jakarta,Jakarta Pusat
20519,2019-12-19,Dalima Kuswandari S.H.,female,DKI Jakarta,Jakarta Utara
20928,2019-12-19,Keisha Uyainah,female,DKI Jakarta,Central Jakarta
20148,2019-12-19,Iriana Usamah,female,DKI Jakarta,Jakarta Selatan
10417,2019-12-20,Kenari Marbun,male,Jawa Tengah,Semarang
10091,2019-12-20,Omar Ardianto,male,Jawa Timur,Surabaya
10093,2019-12-20,Bakiono Gunarto,male,Jawa Barat,Kota Depok
